raw_text,clean_text,tokens,gloss,UDfeats
Ehoro tí ó ṣubú (ni ó pa àwọ̀ dà,Ehoro tí ó ṣubú ni ó pa àwọ̀ dà,"['Ehoro', 'tí', 'ó', 'ṣubú', 'ni', 'ó', 'pa', 'àwọ̀', 'dà']",Rabbit REL 3-SG-TNS fall FOC 3-SG-TNS paint colour change,"['_', 'PronType=Rel', 'Person=3|Number=Sing|VerbForm=Tns', '_', 'Voice=Foc', 'Person=3|Number=Sing|VerbForm=Tns', '_', '_', '_']"
Bọ́ọ̀lù tí ó ń yí gbirigbiri (ni ó pa àwọ̀ dà,Bọ́ọ̀lù tí ó ń yí gbirigbiri ni ó pa àwọ̀ dà,"['Bọ́ọ̀lù', 'tí', 'ó', 'ń', 'yí', 'gbirigbiri', 'ni', 'ó', 'pa', 'àwọ̀', 'dà']",Ball REL 3-SG-TNS PROG roll rolling.mannereat FOC 3-SG-TNS paint colour change,"['_', 'PronType=Rel', 'Person=3|Number=Sing|VerbForm=Tns', 'VerbForm=Prog', '_', '_', 'Voice=Foc', 'Person=3|Number=Sing|VerbForm=Tns', '_', '_', '_']"
Kìnìún tí ó ń fa màlúù méjì (ni ó pa àwọ̀ dà,Kìnìún tí ó ń fa màlúù méjì ni ó pa àwọ̀ dà,"['Kìnìún', 'tí', 'ó', 'ń', 'fa', 'màlúù', 'méjì', 'ni', 'ó', 'pa', 'àwọ̀', 'dà']",Lion REL 3-SG-TNS PROG pull cow two FOC 3-SG-TNS paint colour change,"['_', 'PronType=Rel', 'Person=3|Number=Sing|VerbForm=Tns', 'VerbForm=Prog', '_', '_', '_', 'Voice=Foc', 'Person=3|Number=Sing|VerbForm=Tns', '_', '_', '_']"
ọ̀pọ̀lọ́ tí pẹ́pẹ́yẹ méjì ń wẹ̀ (ni ó pa àwọ̀ dà,ọ̀pọ̀lọ́ tí pẹ́pẹ́yẹ méjì ń wẹ̀ ni ó pa àwọ̀ dà,"['ọ̀pọ̀lọ́', 'tí', 'pẹ́pẹ́yẹ', 'méjì', 'ń', 'wẹ̀', 'ni', 'ó', 'pa', 'àwọ̀', 'dà']",toad REL duck two PROG wash FOC 3-SG-TNS paint colour change,"['_', 'PronType=Rel', '_', '_', 'VerbForm=Prog', '_', 'Voice=Foc', 'Person=3|Number=Sing|VerbForm=Tns', '_', '_', '_']"
Ajá kan tí adìyẹ ń ju bọ́ọ̀lù sí (ni ó pa àwọ̀ dà,Ajá kan tí adìyẹ ń ju bọ́ọ̀lù sí ni ó pa àwọ̀ dà,"['Ajá', 'kan', 'tí', 'adìyẹ', 'ń', 'ju', 'bọ́ọ̀lù', 'sí', 'ni', 'ó', 'pa', 'àwọ̀', 'dà']",Dog one REL hen PROG throw ball to FOC 3-SG-TNS paint colour change,"['_', '_', 'PronType=Rel', '_', 'VerbForm=Prog', '_', '_', '_', 'Voice=Foc', 'Person=3|Number=Sing|VerbForm=Tns', '_', '_', '_']"
*Ilé tí adìyẹ àti àgùntàn tí ó ń fò ati àgùntàn tí ó jókòó lórí rẹ̀,*Ilé tí adìyẹ àti àgùntàn tí ó ń fò ati àgùntàn tí ó jókòó lórí rẹ̀,"['*', 'Ilé', 'tí', 'adìyẹ', 'àti', 'àgùntàn', 'tí', 'ó', 'ń', 'fò', 'ati', 'àgùntàn', 'tí', 'ó', 'jókòó', 'lórí', 'rẹ̀']",House REL hen and sheep REL 3-SG-TNS PROG jump and sheep REL 3-SG-TNS sit LOC 3-SG-GEN,"['_', '_', 'PronType=Rel', '_', '_', '_', 'PronType=Rel', 'Person=3|Number=Sing|VerbForm=Tns', 'VerbForm=Prog', '_', '_', '_', 'PronType=Rel', 'Person=3|Number=Sing|VerbForm=Tns', '_', 'Case=Loc', 'Person=3|Number=Sing|Case=Gen']"
Tábìlì tí ọ̀pọ̀lọ́ kan jókòó sí abẹ́ rẹ̀,Tábìlì tí ọ̀pọ̀lọ́ kan jókòó sí abẹ́ rẹ̀,"['Tábìlì', 'tí', 'ọ̀pọ̀lọ́', 'kan', 'jókòó', 'sí', 'abẹ́', 'rẹ̀']",Table REL toad one sit LOC under 3-SG-GEN,"['_', 'PronType=Rel', '_', '_', '_', 'Case=Loc', '_', 'Person=3|Number=Sing|Case=Gen']"
adìyẹ kan tí eku kan ń fún ní èso,adìyẹ kan tí eku kan ń fún ní èso,"['adìyẹ', 'kan', 'tí', 'eku', 'kan', 'ń', 'fún', 'ní', 'èso']",hen one REL rat one PROG give LOC fruit,"['_', '_', 'PronType=Rel', '_', '_', 'VerbForm=Prog', '_', 'Case=Loc', '_']"
ewúrẹ́ méjì tí ó ń ti olóńgbò kan,ewúrẹ́ méjì tí ó ń ti olóńgbò kan,"['ewúrẹ́', 'méjì', 'tí', 'ó', 'ń', 'ti', 'olóńgbò', 'kan']",goat two REL 3-SG-TNS PROG push cat one,"['_', '_', 'PronType=Rel', 'Person=3|Number=Sing|VerbForm=Tns', 'VerbForm=Prog', '_', '_', '_']"
ewúrẹ́ kan tí olóńgbò méjì ń fà,ewúrẹ́ kan tí olóńgbò méjì ń fà,"['ewúrẹ́', 'kan', 'tí', 'olóńgbò', 'méjì', 'ń', 'fà']",goat one REL cat two PROG pull,"['_', '_', 'PronType=Rel', '_', '_', 'VerbForm=Prog', '_']"
ẹṣin kan tí ó ń fà màlúù méjì,ẹṣin kan tí ó ń fà màlúù méjì,"['ẹṣin', 'kan', 'tí', 'ó', 'ń', 'fà', 'màlúù', 'méjì']",horse one REL 3-SG-TNS PROG pull cow two,"['_', '_', 'PronType=Rel', 'Person=3|Number=Sing|VerbForm=Tns', 'VerbForm=Prog', '_', '_', '_']"
ajá kan tí ó ń wẹ àgùntàn méjì,ajá kan tí ó ń wẹ àgùntàn méjì,"['ajá', 'kan', 'tí', 'ó', 'ń', 'wẹ', 'àgùntàn', 'méjì']",dog one REL 3-SG-TNS PROG wash sheep two,"['_', '_', 'PronType=Rel', 'Person=3|Number=Sing|VerbForm=Tns', 'VerbForm=Prog', '_', '_', '_']"
ẹṣin méjì tí màlúù kan ń tì,ẹṣin méjì tí màlúù kan ń tì,"['ẹṣin', 'méjì', 'tí', 'màlúù', 'kan', 'ń', 'tì']",horse two REL cow one PROG push,"['_', '_', 'PronType=Rel', '_', '_', 'VerbForm=Prog', '_']"
adìyẹ kan tí ọ̀pọ̀lọ́ kan ń ju ọsàn sókè sí,adìyẹ kan tí ọ̀pọ̀lọ́ kan ń ju ọsàn sókè sí,"['adìyẹ', 'kan', 'tí', 'ọ̀pọ̀lọ́', 'kan', 'ń', 'ju', 'ọsàn', 'sókè', 'sí']",hen one REL toad one PROG throw orange LOC to,"['_', '_', 'PronType=Rel', '_', '_', 'VerbForm=Prog', '_', '_', 'Case=Loc', '_']"
ọ̀pọ̀lọ́ méjì tí ó ń mú pẹ́pẹ́yẹ kan,ọ̀pọ̀lọ́ méjì tí ó ń mú pẹ́pẹ́yẹ kan,"['ọ̀pọ̀lọ́', 'méjì', 'tí', 'ó', 'ń', 'mú', 'pẹ́pẹ́yẹ', 'kan']",toad two REL 3-SG-TNS PROG catch duck one,"['_', '_', 'PronType=Rel', 'Person=3|Number=Sing|VerbForm=Tns', 'VerbForm=Prog', '_', '_', '_']"
ibùsùn tí olóńgbò kan ń fò lórí rẹ̀,ibùsùn tí olóńgbò kan ń fò lórí rẹ̀,"['ibùsùn', 'tí', 'olóńgbò', 'kan', 'ń', 'fò', 'lórí', 'rẹ̀']",bed REL cat one PROG jump LOC 3-SG-GEN,"['_', 'PronType=Rel', '_', '_', 'VerbForm=Prog', '_', 'Case=Loc', 'Person=3|Number=Sing|Case=Gen']"
ajá méjì tí àgùntàn kan ń mú,ajá méjì tí àgùntàn kan ń mú,"['ajá', 'méjì', 'tí', 'àgùntàn', 'kan', 'ń', 'mú']",dog two REL sheep one PROG catch,"['_', '_', 'PronType=Rel', '_', '_', 'VerbForm=Prog', '_']"
olóńgbò kan tí pẹ́pẹ́yẹ kan ń fún ní òdòdó,olóńgbò kan tí pẹ́pẹ́yẹ kan ń fún ní òdòdó,"['olóńgbò', 'kan', 'tí', 'pẹ́pẹ́yẹ', 'kan', 'ń', 'fún', 'ní', 'òdòdó']",cat one REL duck one PROG give LOC flower,"['_', '_', 'PronType=Rel', '_', '_', 'VerbForm=Prog', '_', 'Case=Loc', '_']"
igi tí ewúrẹ́ kan jókòó sí abẹ́ rẹ̀,igi tí ewúrẹ́ kan jókòó sí abẹ́ rẹ̀,"['igi', 'tí', 'ewúrẹ́', 'kan', 'jókòó', 'sí', 'abẹ́', 'rẹ̀']",tree REL goat one sit LOC under 3-SG-GEN,"['_', 'PronType=Rel', '_', '_', '_', 'Case=Loc', '_', 'Person=3|Number=Sing|Case=Gen']"
Ehoro tí ó ń jẹun,Ehoro tí ó ń jẹun,"['Ehoro', 'tí', 'ó', 'ń', 'jẹun']",Rabbit REL 3-SG-TNS PROG eat,"['_', 'PronType=Rel', 'Person=3|Number=Sing|VerbForm=Tns', 'VerbForm=Prog', '_']"
Ehoro tí ó ń ṣubú,Ehoro tí ó ń ṣubú,"['Ehoro', 'tí', 'ó', 'ń', 'ṣubú']",Rabbit REL 3-SG-TNS PROG fall,"['_', 'PronType=Rel', 'Person=3|Number=Sing|VerbForm=Tns', 'VerbForm=Prog', '_']"
Bọ́ọ̀lù tí ó ń yí gbirigbiri,Bọ́ọ̀lù tí ó ń yí gbirigbiri,"['Bọ́ọ̀lù', 'tí', 'ó', 'ń', 'yí', 'gbirigbiri']",Ball REL 3-SG-TNS PROG roll rolling.manner,"['_', 'PronType=Rel', 'Person=3|Number=Sing|VerbForm=Tns', 'VerbForm=Prog', '_', '_']"
Kìnìún tí ó ń fa màlúù méjì,Kìnìún tí ó ń fa màlúù méjì,"['Kìnìún', 'tí', 'ó', 'ń', 'fa', 'màlúù', 'méjì']",Lion REL 3-SG-TNS PROG pull cow two,"['_', 'PronType=Rel', 'Person=3|Number=Sing|VerbForm=Tns', 'VerbForm=Prog', '_', '_', '_']"
adìyẹ tí ọ̀pọ̀lọ́ kan ń ju ọsàn sí,adìyẹ tí ọ̀pọ̀lọ́ kan ń ju ọsàn sí,"['adìyẹ', 'tí', 'ọ̀pọ̀lọ́', 'kan', 'ń', 'ju', 'ọsàn', 'sí']",hen REL toad one PROG throw orange to,"['_', 'PronType=Rel', '_', '_', 'VerbForm=Prog', '_', '_', '_']"
ẹṣin méjì tí màlúù kan ń tì,ẹṣin méjì tí màlúù kan ń tì,"['ẹṣin', 'méjì', 'tí', 'màlúù', 'kan', 'ń', 'tì']",horse two REL cow one PROG push,"['_', '_', 'PronType=Rel', '_', '_', 'VerbForm=Prog', '_']"
ajá méjì tí àgùntàn kan ń mú,ajá méjì tí àgùntàn kan ń mú,"['ajá', 'méjì', 'tí', 'àgùntàn', 'kan', 'ń', 'mú']",dog two REL sheep one PROG catch,"['_', '_', 'PronType=Rel', '_', '_', 'VerbForm=Prog', '_']"
ajá tí ó ń wẹ àgùntàn méjì,ajá tí ó ń wẹ àgùntàn méjì,"['ajá', 'tí', 'ó', 'ń', 'wẹ', 'àgùntàn', 'méjì']",dog REL 3-SG-TNS PROG wash sheep two,"['_', 'PronType=Rel', 'Person=3|Number=Sing|VerbForm=Tns', 'VerbForm=Prog', '_', '_', '_']"
ewúrẹ́ tí olóńgbò méjì ń fà,ewúrẹ́ tí olóńgbò méjì ń fà,"['ewúrẹ́', 'tí', 'olóńgbò', 'méjì', 'ń', 'fà']",goat REL cat two PROG pull,"['_', 'PronType=Rel', '_', '_', 'VerbForm=Prog', '_']"
igi tí ewúrẹ́ kan jókòó sábẹ́ rẹ̀,igi tí ewúrẹ́ kan jókòó sábẹ́ rẹ̀,"['igi', 'tí', 'ewúrẹ́', 'kan', 'jókòó', 'sábẹ́', 'rẹ̀']",tree REL goat one sit LOC 3-SG-GEN,"['_', 'PronType=Rel', '_', '_', '_', 'Case=Loc', 'Person=3|Number=Sing|Case=Gen']"
ọ̀pọ̀lọ́ tí pẹ́pẹ́yẹ méjì ń wẹ̀,ọ̀pọ̀lọ́ tí pẹ́pẹ́yẹ méjì ń wẹ̀,"['ọ̀pọ̀lọ́', 'tí', 'pẹ́pẹ́yẹ', 'méjì', 'ń', 'wẹ̀']",toad REL duck two PROG wash,"['_', 'PronType=Rel', '_', '_', 'VerbForm=Prog', '_']"
ewúrẹ́ méjì tí ó ń ti olóńgbò kan,ewúrẹ́ méjì tí ó ń ti olóńgbò kan,"['ewúrẹ́', 'méjì', 'tí', 'ó', 'ń', 'ti', 'olóńgbò', 'kan']",goat two REL 3-SG-TNS PROG push cat one,"['_', '_', 'PronType=Rel', 'Person=3|Number=Sing|VerbForm=Tns', 'VerbForm=Prog', '_', '_', '_']"
ibùsùn tí olóńgbò kan ń fò lórí rẹ̀,ibùsùn tí olóńgbò kan ń fò lórí rẹ̀,"['ibùsùn', 'tí', 'olóńgbò', 'kan', 'ń', 'fò', 'lórí', 'rẹ̀']",bed REL cat one PROG jump LOC 3-SG-GEN,"['_', 'PronType=Rel', '_', '_', 'VerbForm=Prog', '_', 'Case=Loc', 'Person=3|Number=Sing|Case=Gen']"
ẹṣin kan tí ó ń fà màlúù méjì,ẹṣin kan tí ó ń fà màlúù méjì,"['ẹṣin', 'kan', 'tí', 'ó', 'ń', 'fà', 'màlúù', 'méjì']",horse one REL 3-SG-TNS PROG pull cow two,"['_', '_', 'PronType=Rel', 'Person=3|Number=Sing|VerbForm=Tns', 'VerbForm=Prog', '_', '_', '_']"
Ilé tí àgùntàn kan ń fò lórí rẹ̀,Ilé tí àgùntàn kan ń fò lórí rẹ̀,"['Ilé', 'tí', 'àgùntàn', 'kan', 'ń', 'fò', 'lórí', 'rẹ̀']",House REL sheep one PROG jump LOC 3-SG-GEN,"['_', 'PronType=Rel', '_', '_', 'VerbForm=Prog', '_', 'Case=Loc', 'Person=3|Number=Sing|Case=Gen']"
adìyẹ tí eku kan ń fún ní èso,adìyẹ tí eku kan ń fún ní èso,"['adìyẹ', 'tí', 'eku', 'kan', 'ń', 'fún', 'ní', 'èso']",hen REL rat one PROG give LOC fruit,"['_', 'PronType=Rel', '_', '_', 'VerbForm=Prog', '_', 'Case=Loc', '_']"
olóńgbò tí pẹ́pẹ́yẹ kan ń fún ní òdòdó,olóńgbò tí pẹ́pẹ́yẹ kan ń fún ní òdòdó,"['olóńgbò', 'tí', 'pẹ́pẹ́yẹ', 'kan', 'ń', 'fún', 'ní', 'òdòdó']",cat REL duck one PROG give LOC flower,"['_', 'PronType=Rel', '_', '_', 'VerbForm=Prog', '_', 'Case=Loc', '_']"
