raw_text,clean_text,tokens,gloss,UDfeats
Ehoro tí ó ń jẹun,Ehoro tí ó ń jẹun,"['Ehoro', 'tí', 'ó', 'ń', 'jẹun']",Rabbit REL 3.SG.TNS PROG eat,"['_', 'PronType=Rel', 'Person=3|Number=Sing|VerbForm=Tns', 'VerbForm=Prog', '_']"
Ehoro tí ó ń ṣubú,Ehoro tí ó ń ṣubú,"['Ehoro', 'tí', 'ó', 'ń', 'ṣubú']",Rabbit REL 3.SG.TNS PROG fall,"['_', 'PronType=Rel', 'Person=3|Number=Sing|VerbForm=Tns', 'VerbForm=Prog', '_']"
Bọ́ọ̀lù tí ó ń yí gbirigbiri,Bọ́ọ̀lù tí ó ń yí gbirigbiri,"['Bọ́ọ̀lù', 'tí', 'ó', 'ń', 'yí', 'gbirigbiri']",Ball REL 3.SG.TNS PROG roll rolling-manner,"['_', 'PronType=Rel', 'Person=3|Number=Sing|VerbForm=Tns', 'VerbForm=Prog', '_', '_']"
Kìnìún kan tí ó ń fa màlúù méjì,Kìnìún kan tí ó ń fa màlúù méjì,"['Kìnìún', 'kan', 'tí', 'ó', 'ń', 'fa', 'màlúù', 'méjì']",Lion one REL 3.SG.TNS PROG pull cow two,"['_', '_', 'PronType=Rel', 'Person=3|Number=Sing|VerbForm=Tns', 'VerbForm=Prog', '_', '_', '_']"
ẹṣin méjì tí màlúù kan ń tì,ẹṣin méjì tí màlúù kan ń tì,"['ẹṣin', 'méjì', 'tí', 'màlúù', 'kan', 'ń', 'tì']",horse two REL cow one PROG push,"['_', '_', 'PronType=Rel', '_', '_', 'VerbForm=Prog', '_']"
adìyẹ kan tí eku ń fún ní èso,adìyẹ kan tí eku ń fún ní èso,"['adìyẹ', 'kan', 'tí', 'eku', 'ń', 'fún', 'ní', 'èso']",hen one REL rat PROG give LOC fruit,"['_', '_', 'PronType=Rel', '_', 'VerbForm=Prog', '_', 'Case=Loc', '_']"
ajá kan tí ó ń wẹ àgùntàn méjì,ajá kan tí ó ń wẹ àgùntàn méjì,"['ajá', 'kan', 'tí', 'ó', 'ń', 'wẹ', 'àgùntàn', 'méjì']",dog one REL 3.SG.TNS PROG wash sheep two,"['_', '_', 'PronType=Rel', 'Person=3|Number=Sing|VerbForm=Tns', 'VerbForm=Prog', '_', '_', '_']"
ewúrẹ́ kan tí olóńgbò méjì ń fà,ewúrẹ́ kan tí olóńgbò méjì ń fà,"['ewúrẹ́', 'kan', 'tí', 'olóńgbò', 'méjì', 'ń', 'fà']",goat one REL cat two PROG pull,"['_', '_', 'PronType=Rel', '_', '_', 'VerbForm=Prog', '_']"
ibùsùn tí olóńgbò kan ń fò lórí rẹ̀,ibùsùn tí olóńgbò kan ń fò lórí rẹ̀,"['ibùsùn', 'tí', 'olóńgbò', 'kan', 'ń', 'fò', 'lórí', 'rẹ̀']",bed REL cat one PROG jump LOC 3.SG.GEN,"['_', 'PronType=Rel', '_', '_', 'VerbForm=Prog', '_', 'Case=Loc', 'Person=3|Number=Sing|Case=Gen']"
igi tí ewúrẹ́ kan jókòó sábẹ́ rẹ̀,igi tí ewúrẹ́ kan jókòó sábẹ́ rẹ̀,"['igi', 'tí', 'ewúrẹ́', 'kan', 'jókòó', 'sábẹ́', 'rẹ̀']",tree REL goat one sit LOC 3.SG.GEN,"['_', 'PronType=Rel', '_', '_', '_', 'Case=Loc', 'Person=3|Number=Sing|Case=Gen']"
ewúrẹ́ méjì tí ó ń ti olóńgbò kan,ewúrẹ́ méjì tí ó ń ti olóńgbò kan,"['ewúrẹ́', 'méjì', 'tí', 'ó', 'ń', 'ti', 'olóńgbò', 'kan']",goat two REL 3.SG.TNS PROG push cat one,"['_', '_', 'PronType=Rel', 'Person=3|Number=Sing|VerbForm=Tns', 'VerbForm=Prog', '_', '_', '_']"
ẹṣin kan tí ó ń fà màlúù méjì,ẹṣin kan tí ó ń fà màlúù méjì,"['ẹṣin', 'kan', 'tí', 'ó', 'ń', 'fà', 'màlúù', 'méjì']",horse one REL 3.SG.TNS PROG pull cow two,"['_', '_', 'PronType=Rel', 'Person=3|Number=Sing|VerbForm=Tns', 'VerbForm=Prog', '_', '_', '_']"
adìyẹ kan tí ọ̀pọ̀lọ́ kan ń ju ọsàn sí,adìyẹ kan tí ọ̀pọ̀lọ́ kan ń ju ọsàn sí,"['adìyẹ', 'kan', 'tí', 'ọ̀pọ̀lọ́', 'kan', 'ń', 'ju', 'ọsàn', 'sí']",hen one REL toad one PROG throw orange to,"['_', '_', 'PronType=Rel', '_', '_', 'VerbForm=Prog', '_', '_', '_']"
Ilé tí àgùntàn kan ń fò lórí rẹ̀,Ilé tí àgùntàn kan ń fò lórí rẹ̀,"['Ilé', 'tí', 'àgùntàn', 'kan', 'ń', 'fò', 'lórí', 'rẹ̀']",House REL sheep one PROG jump LOC 3.SG.GEN,"['_', 'PronType=Rel', '_', '_', 'VerbForm=Prog', '_', 'Case=Loc', 'Person=3|Number=Sing|Case=Gen']"
Tábìlì tí ọ̀pọ̀lọ́ kan jókòó sí abẹ́ rẹ̀,Tábìlì tí ọ̀pọ̀lọ́ kan jókòó sí abẹ́ rẹ̀,"['Tábìlì', 'tí', 'ọ̀pọ̀lọ́', 'kan', 'jókòó', 'sí', 'abẹ́', 'rẹ̀']",Table REL toad one sit LOC under 3.SG.GEN,"['_', 'PronType=Rel', '_', '_', '_', 'Case=Loc', '_', 'Person=3|Number=Sing|Case=Gen']"
ọ̀pọ̀lọ́ méjì tí ó ń mú pẹ́pẹ́yẹ kan,ọ̀pọ̀lọ́ méjì tí ó ń mú pẹ́pẹ́yẹ kan,"['ọ̀pọ̀lọ́', 'méjì', 'tí', 'ó', 'ń', 'mú', 'pẹ́pẹ́yẹ', 'kan']",toad two REL 3.SG.TNS PROG catch duck one,"['_', '_', 'PronType=Rel', 'Person=3|Number=Sing|VerbForm=Tns', 'VerbForm=Prog', '_', '_', '_']"
olóńgbò tí pẹ́pẹ́yẹ ń fún ní òdòdó,olóńgbò tí pẹ́pẹ́yẹ ń fún ní òdòdó,"['olóńgbò', 'tí', 'pẹ́pẹ́yẹ', 'ń', 'fún', 'ní', 'òdòdó']",cat REL duck PROG give LOC flower,"['_', 'PronType=Rel', '_', 'VerbForm=Prog', '_', 'Case=Loc', '_']"
Ajá tí adìyẹ ń ju bọ́ọ̀lù sí,Ajá tí adìyẹ ń ju bọ́ọ̀lù sí,"['Ajá', 'tí', 'adìyẹ', 'ń', 'ju', 'bọ́ọ̀lù', 'sí']",Dog REL hen PROG throw ball to,"['_', 'PronType=Rel', '_', 'VerbForm=Prog', '_', '_', '_']"
ajá méjì tí àgùntàn ń mú,ajá méjì tí àgùntàn ń mú,"['ajá', 'méjì', 'tí', 'àgùntàn', 'ń', 'mú']",dog two REL sheep PROG catch,"['_', '_', 'PronType=Rel', '_', 'VerbForm=Prog', '_']"
ọ̀pọ̀lọ́ kan tí pẹ́pẹ́yẹ méjì ń wẹ̀,ọ̀pọ̀lọ́ kan tí pẹ́pẹ́yẹ méjì ń wẹ̀,"['ọ̀pọ̀lọ́', 'kan', 'tí', 'pẹ́pẹ́yẹ', 'méjì', 'ń', 'wẹ̀']",toad one REL duck two PROG wash,"['_', '_', 'PronType=Rel', '_', '_', 'VerbForm=Prog', '_']"
Ehoro tí ó ṣubú (ni ó pa àwọ̀ dà,Ehoro tí ó ṣubú ( ni ó pa àwọ̀ dà,"['Ehoro', 'tí', 'ó', 'ṣubú', '(', 'ni', 'ó', 'pa', 'àwọ̀', 'dà']",Rabbit REL 3.SG.TNS fall ( FOC 3.SG.TNS paint colour change,"['_', 'PronType=Rel', 'Person=3|Number=Sing|VerbForm=Tns', '_', '_', 'Voice=Foc', 'Person=3|Number=Sing|VerbForm=Tns', '_', '_', '_']"
Bọ́ọ̀lù tí ó ń yí gbirigbiri (ni ó pa àwọ̀ dà,Bọ́ọ̀lù tí ó ń yí gbirigbiri ( ni ó pa àwọ̀ dà,"['Bọ́ọ̀lù', 'tí', 'ó', 'ń', 'yí', 'gbirigbiri', '(', 'ni', 'ó', 'pa', 'àwọ̀', 'dà']",Ball REL 3.SG.TNS PROG roll rolling-mannereat ( FOC 3.SG.TNS paint colour change,"['_', 'PronType=Rel', 'Person=3|Number=Sing|VerbForm=Tns', 'VerbForm=Prog', '_', '_', '_', 'Voice=Foc', 'Person=3|Number=Sing|VerbForm=Tns', '_', '_', '_']"
Kìnìún tí ó ń fa màlúù méjì (ni ó pa àwọ̀ dà,Kìnìún tí ó ń fa màlúù méjì ( ni ó pa àwọ̀ dà,"['Kìnìún', 'tí', 'ó', 'ń', 'fa', 'màlúù', 'méjì', '(', 'ni', 'ó', 'pa', 'àwọ̀', 'dà']",Lion REL 3.SG.TNS PROG pull cow two ( FOC 3.SG.TNS paint colour change,"['_', 'PronType=Rel', 'Person=3|Number=Sing|VerbForm=Tns', 'VerbForm=Prog', '_', '_', '_', '_', 'Voice=Foc', 'Person=3|Number=Sing|VerbForm=Tns', '_', '_', '_']"
ọ̀pọ̀lọ́ tí pẹ́pẹ́yẹ méjì ń wẹ̀ (ni ó pa àwọ̀ dà,ọ̀pọ̀lọ́ tí pẹ́pẹ́yẹ méjì ń wẹ̀ ( ni ó pa àwọ̀ dà,"['ọ̀pọ̀lọ́', 'tí', 'pẹ́pẹ́yẹ', 'méjì', 'ń', 'wẹ̀', '(', 'ni', 'ó', 'pa', 'àwọ̀', 'dà']",toad REL duck two PROG wash ( FOC 3.SG.TNS paint colour change,"['_', 'PronType=Rel', '_', '_', 'VerbForm=Prog', '_', '_', 'Voice=Foc', 'Person=3|Number=Sing|VerbForm=Tns', '_', '_', '_']"
Ajá kan tí adìyẹ ń ju bọ́ọ̀lù sí (ni ó pa àwọ̀ dà,Ajá kan tí adìyẹ ń ju bọ́ọ̀lù sí ( ni ó pa àwọ̀ dà,"['Ajá', 'kan', 'tí', 'adìyẹ', 'ń', 'ju', 'bọ́ọ̀lù', 'sí', '(', 'ni', 'ó', 'pa', 'àwọ̀', 'dà']",Dog one REL hen PROG throw ball to ( FOC 3.SG.TNS paint colour change,"['_', '_', 'PronType=Rel', '_', 'VerbForm=Prog', '_', '_', '_', '_', 'Voice=Foc', 'Person=3|Number=Sing|VerbForm=Tns', '_', '_', '_']"
*Ilé tí adìyẹ àti àgùntàn tí ó ń fò ati àgùntàn tí ó jókòó lórí rẹ̀ (ni ó pa àwọ̀ dà),*Ilé tí adìyẹ àti àgùntàn tí ó ń fò ati àgùntàn tí ó jókòó lórí rẹ̀ ( ni ó pa àwọ̀ dà ),"['*Ilé', 'tí', 'adìyẹ', 'àti', 'àgùntàn', 'tí', 'ó', 'ń', 'fò', 'ati', 'àgùntàn', 'tí', 'ó', 'jókòó', 'lórí', 'rẹ̀', '(', 'ni', 'ó', 'pa', 'àwọ̀', 'dà', ')']",House REL hen and sheep REL 3.SG.TNS PROG jump and sheep REL 3.SG.TNS sit LOC 3.SG.GEN ( FOC 3.SG.TNS paint colour change ),"['_', 'PronType=Rel', '_', '_', '_', 'PronType=Rel', 'Person=3|Number=Sing|VerbForm=Tns', 'VerbForm=Prog', '_', '_', '_', 'PronType=Rel', 'Person=3|Number=Sing|VerbForm=Tns', '_', 'Case=Loc', 'Person=3|Number=Sing|Case=Gen', '_', 'Voice=Foc', 'Person=3|Number=Sing|VerbForm=Tns', '_', '_', '_', '_']"
Tábìlì tí ọ̀pọ̀lọ́ kan jókòó sí abẹ́ rẹ̀ (ni ó pa àwọ̀ dà),Tábìlì tí ọ̀pọ̀lọ́ kan jókòó sí abẹ́ rẹ̀ ( ni ó pa àwọ̀ dà ),"['Tábìlì', 'tí', 'ọ̀pọ̀lọ́', 'kan', 'jókòó', 'sí', 'abẹ́', 'rẹ̀', '(', 'ni', 'ó', 'pa', 'àwọ̀', 'dà', ')']",Table REL toad one sit LOC under 3.SG.GEN ( FOC 3.SG.TNS paint colour change ),"['_', 'PronType=Rel', '_', '_', '_', 'Case=Loc', '_', 'Person=3|Number=Sing|Case=Gen', '_', 'Voice=Foc', 'Person=3|Number=Sing|VerbForm=Tns', '_', '_', '_', '_']"
adìyẹ kan tí eku kan ń fún ní èso (ni ó pa àwọ̀ dà),adìyẹ kan tí eku kan ń fún ní èso ( ni ó pa àwọ̀ dà ),"['adìyẹ', 'kan', 'tí', 'eku', 'kan', 'ń', 'fún', 'ní', 'èso', '(', 'ni', 'ó', 'pa', 'àwọ̀', 'dà', ')']",hen one REL rat one PROG give LOC fruit ( FOC 3.SG.TNS paint colour change ),"['_', '_', 'PronType=Rel', '_', '_', 'VerbForm=Prog', '_', 'Case=Loc', '_', '_', 'Voice=Foc', 'Person=3|Number=Sing|VerbForm=Tns', '_', '_', '_', '_']"
ewúrẹ́ méjì tí ó ń ti olóńgbò kan (ni ó pa àwọ̀ dà),ewúrẹ́ méjì tí ó ń ti olóńgbò kan ( ni ó pa àwọ̀ dà ),"['ewúrẹ́', 'méjì', 'tí', 'ó', 'ń', 'ti', 'olóńgbò', 'kan', '(', 'ni', 'ó', 'pa', 'àwọ̀', 'dà', ')']",goat two REL 3.SG.TNS PROG push cat one ( FOC 3.SG.TNS paint colour change ),"['_', '_', 'PronType=Rel', 'Person=3|Number=Sing|VerbForm=Tns', 'VerbForm=Prog', '_', '_', '_', '_', 'Voice=Foc', 'Person=3|Number=Sing|VerbForm=Tns', '_', '_', '_', '_']"
