gold,pred
"{'NOM', 'M', 'DEF', 'ART', 'SG'}","{'NOM', 'M', 'DEF', 'ART', 'SG'}"
"{'NOM', 'M', 'DEF', 'ART', 'SG'}","{'NOM', 'M', 'DEF', 'ART', 'SG'}"
"{'NOM', 'M', 'DEF', 'ART', 'SG'}","{'NOM', 'M', 'DEF', 'ART', 'SG'}"
"{'NOM', 'M', 'DEF', 'ART', 'SG'}","{'NOM', 'M', 'DEF', 'ART', 'SG'}"
"{'NOM', 'M', 'DEF', 'ART', 'SG'}","{'NOM', 'M', 'DEF', 'ART', 'SG'}"
"{'NOM', 'M', 'SG'}","{'NOM', 'M', 'SG'}"
"{'NOM', 'M', 'SG'}","{'NOM', 'M', 'SG'}"
"{'NOM', 'M', 'SG'}","{'NOM', 'M', 'SG'}"
"{'NOM', 'REL', 'M', 'SG'}","{'NOM', 'M', 'DEM/REL', 'SG'}"
"{'NOM', 'REL', 'M', 'SG'}","{'NOM', 'M', 'DEM/REL', 'SG'}"
"{'NOM', 'REL', 'M', 'SG'}","{'NOM', 'M', 'DEM/REL', 'SG'}"
"{'NOM', 'REL', 'M', 'SG'}","{'NOM', 'M', 'DEM/REL', 'SG'}"
"{'NOM', 'REL', 'M', 'SG'}","{'NOM', 'M', 'DEM/REL', 'SG'}"
"{'PRS', 'SG', '3', 'IND'}","{'3', 'PRS', 'IND', 'SG', 'FIN'}"
"{'PRS', 'SG', '3', 'IND'}","{'3', 'PRS', 'IND', 'SG', 'FIN'}"
"{'PRS', 'SG', '3', 'IND'}","{'3', 'PRS', 'IND', 'SG', 'FIN'}"
"{'PRS', 'SG', '3', 'IND'}","{'3', 'PRS', 'IND', 'SG', 'FIN'}"
"{'PRS', 'SG', '3', 'IND'}","{'3', 'PRS', 'IND', 'SG', 'FIN'}"
"{'PRS', 'SG', '3', 'IND'}","{'3', 'PRS', 'IND', 'SG', 'FIN'}"
"{'PRS', 'SG', '3', 'IND'}","{'3', 'PRS', 'IND', 'SG', 'FIN'}"
"{'PRS', 'SG', '3', 'IND'}","{'3', 'PRS', 'IND', 'SG', 'FIN'}"
"{'PRS', 'SG', '3', 'IND'}","{'3', 'PRS', 'IND', 'SG', 'FIN'}"
"{'PRS', 'SG', '3', 'IND'}","{'3', 'PRS', 'IND', 'SG', 'FIN'}"
"{'ACC', 'INDF', 'F', 'ART', 'SG'}","{'ACC', 'F', 'CARD', 'ART', 'IND', 'SG'}"
"{'ACC', 'INDF', 'F', 'ART', 'SG'}","{'ACC', 'F', 'CARD', 'ART', 'IND', 'SG'}"
"{'ACC', 'INDF', 'F', 'ART', 'SG'}","{'ACC', 'F', 'CARD', 'ART', 'IND', 'SG'}"
