gold,pred
{'REL'},{'REL'}
"{'3', 'SG', 'TNS'}","{'3', 'SG', 'TNS'}"
"{'3', 'SG', 'TNS'}","{'3', 'SG', 'TNS'}"
"{'3', 'SG', 'TNS'}","{'3', 'SG', 'TNS'}"
{'PROG'},{'PROG'}
{'REL'},{'REL'}
"{'3', 'SG', 'TNS'}","{'3', 'SG', 'TNS'}"
"{'3', 'SG', 'TNS'}","{'3', 'SG', 'TNS'}"
"{'3', 'SG', 'TNS'}","{'3', 'SG', 'TNS'}"
{'PROG'},{'PROG'}
{'REL'},{'REL'}
"{'3', 'SG', 'TNS'}","{'3', 'SG', 'TNS'}"
"{'3', 'SG', 'TNS'}","{'3', 'SG', 'TNS'}"
"{'3', 'SG', 'TNS'}","{'3', 'SG', 'TNS'}"
{'PROG'},{'PROG'}
{'REL'},{'REL'}
"{'3', 'SG', 'TNS'}","{'3', 'SG', 'TNS'}"
"{'3', 'SG', 'TNS'}","{'3', 'SG', 'TNS'}"
"{'3', 'SG', 'TNS'}","{'3', 'SG', 'TNS'}"
{'PROG'},{'PROG'}
{'REL'},{'REL'}
{'PROG'},{'PROG'}
{'REL'},{'REL'}
{'PROG'},{'PROG'}
{'LOC'},{'LOC'}
{'REL'},{'REL'}
"{'3', 'SG', 'TNS'}","{'3', 'SG', 'TNS'}"
"{'3', 'SG', 'TNS'}","{'3', 'SG', 'TNS'}"
"{'3', 'SG', 'TNS'}","{'3', 'SG', 'TNS'}"
{'PROG'},{'PROG'}
{'REL'},{'REL'}
{'PROG'},{'PROG'}
{'REL'},{'REL'}
{'PROG'},{'PROG'}
{'LOC'},{'LOC'}
"{'3', 'SG', 'GEN'}","{'3', 'SG', 'GEN'}"
"{'3', 'SG', 'GEN'}","{'3', 'SG', 'GEN'}"
"{'3', 'SG', 'GEN'}","{'3', 'SG', 'GEN'}"
{'REL'},{'REL'}
{'LOC'},{'LOC'}
"{'3', 'SG', 'GEN'}","{'3', 'SG', 'GEN'}"
"{'3', 'SG', 'GEN'}","{'3', 'SG', 'GEN'}"
"{'3', 'SG', 'GEN'}","{'3', 'SG', 'GEN'}"
{'REL'},{'REL'}
